"synonym_name","synonym_concept_code","synonym_vocabulary_id"
"DFO-B","149","HemOnc"
"DFOA","149","HemOnc"
"Deferoxamine","149","HemOnc"
"polydeoxyribonucleotide sodium salt","150","HemOnc"
"Defibrotide","150","HemOnc"
"FE200486","151","HemOnc"
"degarelix acetate","151","HemOnc"
"ASP3550","151","HemOnc"
"Degarelix","151","HemOnc"
"ASP-3550","151","HemOnc"
"FE-200486","151","HemOnc"
"ASP 3550","151","HemOnc"
"FE 200486","151","HemOnc"
"DAB389 interleukin-2","152","HemOnc"
"DAB(389)-interleukin-2","152","HemOnc"
"DABIL2","152","HemOnc"
"DAB389 interleukin-2 immunotoxin","152","HemOnc"
"LY335348","152","HemOnc"
"Denileukin diftitox","152","HemOnc"
"DAB-IL2","152","HemOnc"
"LY-335348","152","HemOnc"
"LY 335348","152","HemOnc"
"SGN-CD19A","153","HemOnc"
"Denintuzumab mafodotin","153","HemOnc"
"SGN CD19A","153","HemOnc"
"SGNCD19A","153","HemOnc"
"Denosumab","154","HemOnc"
"Desmopressin","155","HemOnc"
"dexamethasone sodium sulfate","156","HemOnc"
"dexamethasone sodium phosphate","156","HemOnc"
"dexamethasone acetate","156","HemOnc"
"dexamethasone sodium succinate","156","HemOnc"
"dexamethasone sodium","156","HemOnc"
"dexamethasone sodium metasulfobenzoate","156","HemOnc"
"Dexamethasone","156","HemOnc"
"Dexchlorpheniramine","157","HemOnc"
"dexrazoxane hydrochloride","158","HemOnc"
"ICRF-187","158","HemOnc"
"ADR-529","158","HemOnc"
"Dexrazoxane","158","HemOnc"
"ICRF 187","158","HemOnc"
"ADR 529","158","HemOnc"
"ICRF187","158","HemOnc"
"ADR529","158","HemOnc"
"DES","159","HemOnc"
"stilbestrol","159","HemOnc"
"stilboestrol","159","HemOnc"
"Diethylstilbestrol","159","HemOnc"
"SCH 727965","160","HemOnc"
"MK-7965","160","HemOnc"
"Dinaciclib","160","HemOnc"
"SCH-727965","160","HemOnc"
"MK 7965","160","HemOnc"
"MK7965","160","HemOnc"
"SCH727965","160","HemOnc"
"MOAB Ch14.18","161","HemOnc"
"Ch14.18","161","HemOnc"
"monoclonal antibody Ch14.18","161","HemOnc"
"Dinutuximab","161","HemOnc"
"Diphenhydramine","162","HemOnc"
"Dipyridamole","163","HemOnc"
"NSC 628503","164","HemOnc"
"RP 56976","164","HemOnc"
"Docetaxel","164","HemOnc"
"NSC-628503","164","HemOnc"
"RP-56976","164","HemOnc"
"NSC628503","164","HemOnc"
"RP56976","164","HemOnc"
"Docusate","165","HemOnc"
"dolasetron mesylate","166","HemOnc"
"Dolasetron","166","HemOnc"
"Domperidone","167","HemOnc"
"CHIR-258","168","HemOnc"
"Dovitinib lactate","168","HemOnc"
"TKI-258","168","HemOnc"
"Dovitinib","168","HemOnc"
"dovitinib lactate","168","HemOnc"
"CHIR 258","168","HemOnc"
"TKI 258","168","HemOnc"
"CHIR258","168","HemOnc"
"TKI258","168","HemOnc"
"Doxifluridine","169","HemOnc"
"doxorubicin hydrochloride","170","HemOnc"
"ADM","170","HemOnc"
"FI-106","170","HemOnc"
"hydroxydaunorubicin","170","HemOnc"
"Doxorubicin","170","HemOnc"
"FI 106","170","HemOnc"
"FI106","170","HemOnc"
"Doxycycline","171","HemOnc"
"Dronabinol","172","HemOnc"
"MEDI4736","173","HemOnc"
"Durvalumab","173","HemOnc"
"MEDI-4736","173","HemOnc"
"MEDI 4736","173","HemOnc"
"Dutasteride","174","HemOnc"
"IPI-145","175","HemOnc"
"Duvelisib","175","HemOnc"
"IPI 145","175","HemOnc"
"IPI145","175","HemOnc"
"Eculizumab","176","HemOnc"
"DU-176b","177","HemOnc"
"Edoxaban","177","HemOnc"
"Edrecolomab","178","HemOnc"
"anti-CS1 monoclonal antibody HuLuc63","179","HemOnc"
"BMS-901608","179","HemOnc"
"PDL063","179","HemOnc"
"HuLuc63","179","HemOnc"
"PDL-063","179","HemOnc"
"Elotuzumab","179","HemOnc"
"BMS 901608","179","HemOnc"
"PDL 063","179","HemOnc"
"BMS901608","179","HemOnc"
"SB-497115-GR","180","HemOnc"
"Eltrombopag","180","HemOnc"
"eltrombopag olamine","180","HemOnc"
"SB 497115 GR","180","HemOnc"
"SB497115GR","180","HemOnc"
"ACE910","181","HemOnc"
"emicizumab-kxwh","181","HemOnc"
"Emicizumab","181","HemOnc"
"ACE-910","181","HemOnc"
"ACE 910","181","HemOnc"
"AG-221","182","HemOnc"
"enasidenib mesylate","182","HemOnc"
"CC-90007","182","HemOnc"
"Enasidenib","182","HemOnc"
"AG 221","182","HemOnc"
"CC 90007","182","HemOnc"
"AG221","182","HemOnc"
"CC90007","182","HemOnc"
"LGX818","183","HemOnc"
"Encorafenib","183","HemOnc"
"LGX-818","183","HemOnc"
"LGX 818","183","HemOnc"
"Enoxaparin","184","HemOnc"
"X-396","185","HemOnc"
"Ensartinib","185","HemOnc"
"X 396","185","HemOnc"
"X396","185","HemOnc"
"SNDX-275","186","HemOnc"
"MS-275","186","HemOnc"
"Entinostat","186","HemOnc"
"SNDX 275","186","HemOnc"
"MS 275","186","HemOnc"
"SNDX275","186","HemOnc"
"MS275","186","HemOnc"
"GS-9973","187","HemOnc"
"Entospletinib","187","HemOnc"
"GS 9973","187","HemOnc"
"GS9973","187","HemOnc"
"RXDX-101","188","HemOnc"
"Entrectinib","188","HemOnc"
"RXDX 101","188","HemOnc"
"RXDX101","188","HemOnc"
"MDV3100","189","HemOnc"
"Enzalutamide","189","HemOnc"
"MDV-3100","189","HemOnc"
"MDV 3100","189","HemOnc"
"Epinephrine autoinjector","190","HemOnc"
"4-epi-doxorubicin","191","HemOnc"
"epidoxorubicin","191","HemOnc"
"Epirubicin","191","HemOnc"
"Epoetin alfa-epbx","192","HemOnc"
"Erythropoietin","193","HemOnc"
"Erythropoetin","193","HemOnc"
"Epoetin alfa","193","HemOnc"
"AMG 412","194","HemOnc"
"hLL2","194","HemOnc"
"Epratuzumab","194","HemOnc"
"Eptifibatide","195","HemOnc"
"JNJ-42756493","196","HemOnc"
"Erdafitinib","196","HemOnc"
"JNJ 42756493","196","HemOnc"
"JNJ42756493","196","HemOnc"
"ER-086526","197","HemOnc"
